STATION =  70.20N 148.47W ASC
19062713    12
****************************************************
 ASC  19062713 FORECAST PROJECTION= 0
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  30 -55.7  8.8  69.6 339.  220.  33.    0.
  29 -55.1  5.0  76.4 340.  234.  54.    0.
  28 -52.0  7.6  76.7 338.  249.  39.    1.
  27 -48.7  6.6  73.4 339.  266.  46.    1.
  26 -45.1  5.5  71.5 339.  284.  54.    1.
  25 -41.1  4.3  70.2 338.  305.  63.    0.
  24 -37.5  1.5  68.3 337.  327.  85.   -1.
  23 -33.7  2.2  66.1 334.  353.  80.   -1.
  22 -29.7  2.2  64.8 334.  381.  81.   -2.
  21 -25.3  1.9  62.9 334.  412.  84.   -1.
  20 -22.3  2.9  51.9 341.  447.  77.   -1.
  19 -19.1 16.8  34.5 347.  486.  21.    0.
  18 -14.3 23.5  30.2 340.  529.  12.    0.
  17  -9.7 21.6  29.6 342.  577.  15.    0.
  16  -6.2 20.9  26.0 348.  627.  17.    1.
  15  -4.0 19.9  20.1 345.  674.  20.    1.
  14  -1.5 14.7  17.6 335.  719.  32.    1.
  13   0.9 17.3  15.7 334.  760.  26.    1.
  12   2.9 10.3  14.0 338.  798.  47.    1.
  11   5.3  6.9  13.8 343.  834.  61.    1.
  10   7.4  9.9  11.5 349.  866.  49.    1.
   9   8.9 13.9   5.4 360.  895.  37.    1.
   8  10.2 17.5   2.8  78.  921.  29.    2.
   7  10.7 20.5   6.8 125.  944.  23.    2.
   6  10.3 21.9  15.2 131.  966.  20.    1.
   5   8.2 16.9  16.1 128.  984.  29.    1.
   4   4.7  8.0  15.3 123.  998.  56.    0.
   3   5.3  7.9  13.6 117. 1008.  57.    0.
   2   5.8  8.2  12.3 115. 1014.  56.    0.
   1   6.2  8.4  10.1 115. 1017.  55.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION=19
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.5 99.0  12.3 141.   12.   0.    0.
  49 -36.8 99.0  15.0 153.   17.   0.    0.
  48 -41.5 99.0  16.4 146.   22.   0.    0.
  47 -44.1 99.0  12.3 138.   28.   0.    0.
  46 -45.8 99.0   7.6 122.   34.   0.    0.
  45 -46.6 99.0   6.6 124.   40.   0.    0.
  44 -46.7 99.0   4.4 105.   47.   0.    0.
  43 -47.4 99.0   3.1  55.   54.   0.    0.
  42 -47.7 99.0   1.7  69.   62.   0.    0.
  41 -48.0 99.0   5.3  24.   71.   0.    0.
  40 -47.6 99.0   6.3 338.   81.   0.    0.
  39 -47.1 99.0   6.9 344.   94.   0.    0.
  38 -47.3 99.0  12.2 360.  108.   0.    0.
  37 -47.9 99.0  17.5 351.  122.   0.    0.
  36 -47.5 99.0  19.4 342.  136.   0.    0.
  35 -47.1 99.0  23.1 345.  150.   0.    0.
  34 -47.6 99.0  30.4 343.  164.   0.    0.
  33 -48.6 99.0  33.8 345.  178.   0.    0.
  32 -50.6 22.6  48.8 345.  192.   5.    0.
  31 -53.7 14.2  63.2 340.  206.  16.    0.
  30 -55.4  9.1  70.4 338.  220.  31.    0.
  29 -55.0  5.1  75.3 340.  234.  53.    0.
  28 -51.8  6.4  76.8 338.  249.  46.    0.
  27 -48.4  9.2  73.1 339.  266.  33.    1.
  26 -45.1  7.0  69.9 339.  284.  45.    1.
  25 -41.2  4.6  68.6 339.  305.  61.    1.
  24 -37.5  2.6  67.0 337.  327.  77.    1.
  23 -33.8  2.7  64.6 335.  353.  76.    1.
  22 -29.7  2.5  63.3 334.  381.  79.    0.
  21 -25.3  2.1  60.9 334.  412.  83.    0.
  20 -22.8  3.3  49.4 344.  447.  75.    1.
  19 -19.3 16.6  34.9 353.  486.  22.    1.
  18 -14.2 26.0  29.7 344.  529.   9.    1.
  17  -9.5 22.7  29.3 344.  577.  14.    1.
  16  -5.9 21.3  25.9 350.  627.  17.    1.
  15  -3.7 21.8  19.8 347.  675.  17.    2.
  14  -1.4 14.7  17.7 339.  719.  32.    2.
  13   1.0 18.7  16.4 340.  760.  23.    1.
  12   2.9 11.0  15.3 340.  799.  44.    1.
  11   5.2  6.8  15.7 346.  834.  61.    1.
  10   7.5 10.1  12.4 350.  866.  49.    1.
   9   9.0 14.5   5.6 358.  895.  35.    1.
   8  10.1 18.1   2.1  95.  921.  27.    1.
   7  10.6 20.6   6.5 129.  945.  23.    1.
   6  10.3 21.9  14.3 133.  966.  20.    1.
   5   8.1 16.8  15.5 130.  985.  29.    0.
   4   4.3  7.4  14.9 126.  999.  58.    0.
   3   4.6  6.8  12.6 119. 1008.  61.    0.
   2   5.0  7.0  11.4 117. 1014.  60.    0.
   1   5.4  7.2   9.0 115. 1017.  60.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION=20
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.3 99.0  14.0 121.   12.   0.    0.
  49 -36.8 99.0  10.2 147.   17.   0.    0.
  48 -41.8 99.0  12.7 155.   22.   0.    0.
  47 -43.7 99.0  10.4 146.   28.   0.    0.
  46 -45.2 99.0   9.3 127.   34.   0.    0.
  45 -46.3 99.0   9.5 125.   40.   0.    0.
  44 -46.8 99.0   8.5 110.   47.   0.    0.
  43 -47.5 99.0   5.9  84.   54.   0.    0.
  42 -47.5 99.0   1.8  77.   62.   0.    0.
  41 -48.0 99.0   6.1  35.   71.   0.    0.
  40 -48.2 99.0   8.0 356.   81.   0.    0.
  39 -47.6 99.0   8.9 337.   94.   0.    0.
  38 -47.1 99.0  12.2 347.  108.   0.    0.
  37 -47.5 99.0  17.3 348.  122.   0.    0.
  36 -47.2 99.0  19.1 343.  136.   0.    0.
  35 -46.9 99.0  22.2 346.  150.   0.    0.
  34 -48.0 99.0  29.9 344.  164.   0.    0.
  33 -49.2 99.0  33.6 344.  178.   0.    0.
  32 -51.1 22.1  47.8 345.  192.   5.    0.
  31 -54.0 13.9  63.0 341.  206.  17.    0.
  30 -55.8  8.7  72.6 339.  220.  33.    0.
  29 -55.1  3.6  75.7 339.  234.  64.    0.
  28 -51.9  6.3  75.7 339.  249.  47.    0.
  27 -48.4  9.2  72.8 339.  266.  33.    0.
  26 -45.2  6.1  69.2 341.  284.  50.    0.
  25 -41.2  5.5  68.3 340.  305.  55.    0.
  24 -37.5  2.8  66.3 339.  327.  75.    1.
  23 -33.8  2.9  63.2 336.  353.  75.    0.
  22 -29.8  2.4  61.5 334.  381.  80.    0.
  21 -25.3  2.0  59.2 334.  412.  84.    0.
  20 -22.6  3.4  49.7 343.  447.  74.    1.
  19 -19.2 16.5  35.5 356.  486.  22.    2.
  18 -14.1 27.5  27.6 348.  529.   8.    1.
  17  -9.4 24.5  27.6 345.  577.  12.    0.
  16  -5.7 22.0  24.8 349.  627.  16.    0.
  15  -3.4 22.4  19.1 343.  675.  16.    0.
  14  -1.1 15.3  17.5 339.  719.  30.    1.
  13   1.1 17.7  16.8 342.  760.  25.    1.
  12   2.6  8.2  17.0 340.  798.  55.    0.
  11   5.0  5.3  18.3 345.  834.  69.    0.
  10   7.4  9.5  13.8 349.  866.  51.   -1.
   9   8.9 14.9   5.3 343.  895.  34.   -1.
   8  10.0 18.4   0.8 180.  921.  26.   -1.
   7  10.4 20.6   5.6 144.  945.  22.    0.
   6  10.4 21.9  12.7 137.  966.  20.    0.
   5   7.9 16.4  14.3 136.  985.  30.    0.
   4   4.2  7.3  13.8 133.  999.  59.    0.
   3   4.0  6.0  10.6 122. 1008.  65.    0.
   2   4.4  6.1   9.4 120. 1014.  65.    0.
   1   4.6  6.0   7.3 119. 1017.  65.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION=21
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -33.1 99.0  20.5 123.   12.   0.    0.
  49 -38.3 99.0  10.0 143.   17.   0.    0.
  48 -41.9 99.0   8.0 162.   22.   0.    0.
  47 -43.5 99.0   7.3 134.   28.   0.    0.
  46 -45.0 99.0   7.6 130.   34.   0.    0.
  45 -45.5 99.0   7.5 141.   40.   0.    0.
  44 -46.0 99.0   7.2 126.   47.   0.    0.
  43 -46.8 99.0   6.3  97.   54.   0.    0.
  42 -47.0 99.0   1.6  83.   62.   0.    0.
  41 -47.4 99.0   4.7  42.   71.   0.    0.
  40 -48.2 99.0   8.2   7.   81.   0.    0.
  39 -48.1 99.0  10.3 349.   94.   0.    0.
  38 -47.6 99.0  13.1 348.  108.   0.    0.
  37 -47.7 99.0  17.5 348.  122.   0.    0.
  36 -47.3 99.0  18.8 344.  136.   0.    0.
  35 -46.8 99.0  21.5 347.  150.   0.    0.
  34 -48.0 99.0  29.0 345.  164.   0.    0.
  33 -49.6 24.1  33.6 343.  178.   4.    0.
  32 -51.8 21.4  47.0 346.  192.   6.    0.
  31 -54.6 13.3  64.0 343.  206.  18.    0.
  30 -55.7  6.6  72.8 338.  220.  43.    1.
  29 -55.1  3.6  74.1 337.  234.  64.    1.
  28 -52.2  4.7  73.2 340.  249.  57.    0.
  27 -48.6  5.7  70.8 340.  266.  51.    0.
  26 -45.3  4.7  67.5 342.  284.  59.    0.
  25 -41.3  4.9  66.6 341.  305.  59.    0.
  24 -37.7  2.4  64.5 340.  327.  78.    0.
  23 -34.0  2.3  61.3 337.  353.  79.    0.
  22 -29.8  2.2  59.6 335.  381.  81.    0.
  21 -25.5  1.9  57.2 335.  412.  84.    0.
  20 -22.6  4.2  48.0 345.  447.  68.    1.
  19 -19.0 18.7  33.7 355.  486.  18.    2.
  18 -14.2 27.9  25.6 346.  529.   7.    0.
  17  -9.4 24.8  26.4 342.  577.  11.    0.
  16  -5.8 21.4  23.6 344.  627.  17.    0.
  15  -3.4 20.5  19.3 336.  674.  19.    0.
  14  -0.9 15.3  17.8 338.  719.  30.    1.
  13   1.1 16.2  16.8 346.  760.  29.    1.
  12   2.2  4.5  18.8 342.  798.  72.    1.
  11   4.7  3.1  19.8 342.  834.  80.    0.
  10   7.1  9.1  13.5 342.  866.  53.   -1.
   9   8.6 14.2   6.7 316.  895.  36.   -1.
   8   9.8 17.5   3.5 267.  921.  28.    0.
   7  10.4 20.4   3.7 177.  945.  23.    0.
   6  10.6 22.0  10.0 147.  966.  20.    0.
   5   7.7 15.6  12.2 144.  985.  32.    0.
   4   4.3  7.5  11.6 138.  999.  58.    0.
   3   3.6  5.4   8.7 119. 1008.  68.    0.
   2   3.8  5.1   7.6 116. 1014.  69.    0.
   1   4.0  4.8   5.4 111. 1017.  71.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
