STATION =  70.20N 148.47W ASC
19062713    12
****************************************************
 ASC  19062713 FORECAST PROJECTION= 0
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  33 -47.8 99.0  34.8 345.  178.   0.    0.
  32 -48.7 24.5  45.2 338.  192.   4.    0.
  31 -51.3 16.6  52.9 340.  206.  12.    0.
  30 -53.9  8.4  63.1 345.  220.  35.    0.
  29 -54.3  5.8  73.8 341.  234.  49.    0.
  28 -52.8  5.4  76.7 332.  249.  52.    0.
  27 -49.6  6.8  73.5 332.  266.  45.    1.
  26 -45.6  5.7  72.2 336.  284.  52.    1.
  25 -41.7  4.1  73.1 337.  305.  64.    0.
  24 -38.1  3.4  70.7 334.  327.  70.    0.
  23 -34.5  3.3  64.8 332.  353.  72.   -1.
  22 -31.6  3.2  53.0 333.  381.  74.   -1.
  21 -28.2  2.6  43.0 328.  412.  79.   -3.
  20 -24.1  2.5  36.5 328.  447.  80.   -2.
  19 -20.2  4.4  29.0 332.  486.  68.    0.
  18 -16.2  9.1  26.4 331.  529.  45.    1.
  17 -12.1 16.7  29.1 328.  578.  24.    0.
  16  -7.9 25.4  27.5 325.  627.  11.   -1.
  15  -4.5 23.2  21.6 325.  675.  15.   -1.
  14  -1.6 22.1  18.6 330.  719.  17.   -1.
  13   1.2 21.5  15.2 332.  760.  18.   -1.
  12   3.5 20.4  11.5 332.  799.  21.    0.
  11   5.5 20.9   7.7 332.  834.  20.    0.
  10   6.9 19.9   3.6 338.  866.  23.    1.
   9   8.0 17.8   1.6  76.  895.  27.    1.
   8   9.2 17.9   5.2 124.  921.  27.    2.
   7   9.8 20.4   9.2 132.  944.  23.    2.
   6   9.6 20.3  15.9 135.  966.  23.    1.
   5   8.7 19.5  16.1 134.  985.  24.    1.
   4   5.5  7.2  15.0 131.  999.  60.    0.
   3   6.0  5.9  11.2 124. 1008.  66.    0.
   2   6.5  6.0  10.1 122. 1014.  66.    0.
   1   6.9  5.7   8.6 123. 1017.  67.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 5
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.4 99.0  26.3 138.   12.   0.    0.
  49 -38.5 99.0  20.6 135.   17.   0.    0.
  48 -42.4 99.0  15.7 146.   22.   0.    0.
  47 -44.5 99.0  12.2 146.   28.   0.    0.
  46 -45.9 99.0   9.7 151.   34.   0.    0.
  45 -46.6 99.0   9.3 157.   40.   0.    0.
  44 -47.0 99.0   8.5 148.   47.   0.    0.
  43 -47.2 99.0   6.6 135.   54.   0.    0.
  42 -47.8 99.0   5.4 105.   62.   0.    0.
  41 -48.1 99.0   2.8  39.   71.   0.    0.
  40 -47.6 99.0   2.7  21.   81.   0.    0.
  39 -47.1 99.0   6.8  35.   94.   0.    0.
  38 -46.9 99.0  10.2   9.  108.   0.    0.
  37 -47.1 99.0  13.4   4.  122.   0.    0.
  36 -47.2 99.0  18.9 360.  136.   0.    0.
  35 -47.3 99.0  23.7 350.  150.   0.    0.
  34 -47.5 99.0  27.4 346.  164.   0.    0.
  33 -47.9 99.0  34.5 347.  178.   0.    0.
  32 -49.5 23.7  46.5 341.  192.   5.    0.
  31 -52.2 15.7  54.0 338.  206.  13.    0.
  30 -53.8 10.7  62.3 341.  220.  26.    0.
  29 -54.0  7.8  72.0 339.  234.  38.    0.
  28 -52.4  5.8  79.8 333.  249.  50.    0.
  27 -49.5  3.9  75.9 330.  266.  63.    1.
  26 -45.7  4.3  71.0 332.  284.  62.    1.
  25 -41.6  4.2  71.5 335.  305.  64.    0.
  24 -37.8  3.7  75.6 333.  327.  68.    0.
  23 -34.0  3.4  73.7 334.  353.  71.    0.
  22 -30.9  3.1  60.7 335.  381.  74.    0.
  21 -28.1  2.8  43.8 337.  412.  77.   -1.
  20 -24.2  2.4  36.5 335.  447.  80.   -1.
  19 -20.5  2.6  29.9 333.  486.  80.   -1.
  18 -16.3  5.4  26.1 329.  529.  63.   -1.
  17 -12.3  8.4  27.2 328.  577.  49.   -1.
  16  -8.5 14.0  29.0 332.  627.  31.   -1.
  15  -4.6 25.5  24.2 329.  674.  12.   -1.
  14  -1.7 22.6  19.3 329.  719.  16.   -1.
  13   1.1 21.5  15.6 328.  760.  18.   -1.
  12   3.5 20.6  12.3 322.  798.  20.    0.
  11   5.6 21.0   8.5 319.  833.  20.    1.
  10   7.1 20.4   3.9 311.  865.  22.    1.
   9   8.2 18.1   0.6 180.  894.  27.    2.
   8   9.4 18.2   4.9 143.  920.  27.    2.
   7  10.1 20.6   8.4 142.  944.  22.    2.
   6   9.9 20.8  15.1 138.  966.  22.    1.
   5   8.3 17.2  15.1 136.  984.  29.    1.
   4   6.4  7.7  13.6 131.  998.  58.    0.
   3   7.0  6.9  11.3 125. 1008.  62.    0.
   2   7.5  6.9  10.2 123. 1013.  62.    0.
   1   8.0  6.7   8.8 123. 1016.  62.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 6
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.3 99.0  23.8 148.   12.   0.    0.
  49 -37.9 99.0  23.7 139.   17.   0.    0.
  48 -42.4 99.0  16.7 140.   22.   0.    0.
  47 -44.7 99.0  11.7 143.   28.   0.    0.
  46 -46.2 99.0   8.0 141.   34.   0.    0.
  45 -47.0 99.0   6.9 155.   40.   0.    0.
  44 -47.4 99.0   6.4 149.   47.   0.    0.
  43 -47.4 99.0   6.0 135.   54.   0.    0.
  42 -47.6 99.0   6.5 106.   62.   0.    0.
  41 -48.2 99.0   4.7  52.   71.   0.    0.
  40 -48.1 99.0   3.4  13.   81.   0.    0.
  39 -47.7 99.0   4.8  21.   94.   0.    0.
  38 -47.1 99.0   8.9 359.  108.   0.    0.
  37 -46.9 99.0  12.7 353.  122.   0.    0.
  36 -47.0 99.0  17.5 356.  136.   0.    0.
  35 -47.3 99.0  23.5 350.  150.   0.    0.
  34 -47.4 99.0  27.3 345.  164.   0.    0.
  33 -47.9 99.0  34.1 346.  178.   0.    0.
  32 -49.7 23.5  46.5 341.  192.   5.    0.
  31 -52.7 15.2  54.4 338.  206.  14.    0.
  30 -54.0  8.3  62.0 341.  220.  35.   -1.
  29 -53.4  8.4  73.7 339.  234.  35.    0.
  28 -52.0  6.2  80.5 335.  249.  47.    1.
  27 -49.3  4.1  78.8 334.  266.  62.    1.
  26 -45.7  4.3  74.3 334.  284.  62.    1.
  25 -41.8  4.0  76.2 334.  305.  65.    1.
  24 -38.0  3.2  77.8 334.  327.  72.    0.
  23 -34.1  2.8  76.1 333.  353.  75.    0.
  22 -30.6  2.9  68.6 334.  381.  76.    0.
  21 -27.6  2.9  50.6 336.  412.  76.    0.
  20 -24.1  2.5  38.2 335.  447.  80.    0.
  19 -20.3  2.3  31.6 333.  486.  82.   -1.
  18 -16.5  3.0  26.6 328.  529.  78.   -1.
  17 -12.5  3.0  26.0 325.  577.  78.    0.
  16  -8.5  7.2  26.3 334.  627.  56.    0.
  15  -4.8 20.1  23.7 335.  674.  19.    0.
  14  -1.9 22.6  19.9 324.  719.  16.   -1.
  13   0.9 20.2  17.5 322.  760.  20.   -1.
  12   3.5 19.3  16.2 317.  798.  23.    0.
  11   5.9 20.7  12.4 315.  833.  21.    0.
  10   7.5 21.2   6.4 308.  865.  21.    1.
   9   8.5 19.0   1.4 262.  894.  25.    2.
   8   9.7 18.6   4.2 152.  920.  26.    2.
   7  10.5 20.7   7.6 142.  944.  22.    2.
   6  10.3 21.4  14.2 137.  966.  21.    1.
   5   8.2 14.9  14.3 134.  984.  34.    1.
   4   7.2  8.1  12.7 124.  998.  56.    0.
   3   8.0  7.9  11.5 120. 1008.  57.    0.
   2   8.5  8.0  10.7 119. 1013.  57.    0.
   1   9.0  7.7   9.2 120. 1016.  59.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 7
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -33.0 99.0  22.6 148.   12.   0.    0.
  49 -38.2 99.0  23.7 150.   17.   0.    0.
  48 -41.9 99.0  19.2 144.   22.   0.    0.
  47 -44.8 99.0  14.1 139.   28.   0.    0.
  46 -46.8 99.0  10.9 131.   34.   0.    0.
  45 -47.9 99.0   7.8 145.   40.   0.    0.
  44 -48.0 99.0   6.3 162.   47.   0.    0.
  43 -47.6 99.0   5.6 168.   54.   0.    0.
  42 -47.0 99.0   5.5 135.   62.   0.    0.
  41 -47.4 99.0   5.2  70.   71.   0.    0.
  40 -47.9 99.0   4.1  19.   81.   0.    0.
  39 -48.1 99.0   4.8  12.   94.   0.    0.
  38 -47.8 99.0   9.2 356.  108.   0.    0.
  37 -47.4 99.0  13.2 346.  122.   0.    0.
  36 -47.1 99.0  17.1 352.  136.   0.    0.
  35 -47.0 99.0  22.7 350.  150.   0.    0.
  34 -47.1 99.0  27.1 346.  164.   0.    0.
  33 -47.5 99.0  33.5 347.  178.   0.    0.
  32 -49.9 23.3  46.8 341.  192.   5.    0.
  31 -52.8 15.1  54.9 337.  206.  14.    0.
  30 -54.0  8.3  62.8 341.  220.  35.    0.
  29 -53.1  8.7  75.1 341.  234.  34.    0.
  28 -51.9  6.3  84.4 336.  249.  47.    0.
  27 -49.2  3.4  84.2 334.  266.  67.    0.
  26 -45.7  3.7  81.6 334.  284.  66.    1.
  25 -41.9  3.9  80.1 334.  305.  66.    1.
  24 -38.0  3.2  77.7 335.  327.  72.    0.
  23 -34.2  3.0  74.9 333.  353.  74.    0.
  22 -30.4  2.9  70.6 331.  381.  76.    0.
  21 -27.0  2.8  61.7 332.  412.  77.    0.
  20 -23.6  2.6  45.2 332.  447.  79.    0.
  19 -20.0  2.1  34.6 332.  486.  83.    0.
  18 -16.4  1.7  27.2 331.  529.  87.    0.
  17 -12.6  1.4  24.1 331.  577.  89.    0.
  16  -8.9  4.2  24.3 334.  627.  72.    0.
  15  -5.2 13.4  23.7 332.  675.  34.   -1.
  14  -1.9 20.6  22.3 322.  719.  19.   -1.
  13   0.8 18.0  20.5 319.  760.  25.    0.
  12   3.7 15.6  19.6 321.  798.  31.    0.
  11   6.2 18.3  15.5 321.  834.  26.    0.
  10   7.7 21.1   8.0 311.  866.  21.    0.
   9   8.7 19.3   2.3 265.  895.  24.    0.
   8   9.9 18.9   4.0 166.  921.  25.    0.
   7  10.6 20.8   6.9 148.  944.  22.    0.
   6  10.4 21.1  13.4 138.  966.  22.    0.
   5   8.3 13.4  13.3 134.  984.  38.    0.
   4   8.0  8.9  11.8 123.  998.  54.    0.
   3   8.8  9.0  11.0 120. 1008.  53.    0.
   2   9.4  9.1  10.2 119. 1014.  53.   -1.
   1  10.0  9.0   8.8 121. 1017.  54.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 8
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.6 99.0  16.8 153.   12.   0.    0.
  49 -38.1 99.0  19.4 157.   17.   0.    0.
